16/08/2019 18:00,"b'@tommyfountain83 Hmm, common \xe2\x80\x98life lessons\xe2\x80\x99 phrases? Like, wisdom but in a cute phrase. In English we have, \xe2\x80\x98the ap\xe2\x80\xa6 https://t.co/Jf8UW9ctS0'","'@tommyfountain83 Hmm, common \xe2\x80\x98life lessons\xe2\x80\x99 phrases? Like, wisdom but in a cute phrase. In English we have, \xe2\x80\x98the ap\xe2\x80\xa6 https://t.co/Jf8UW9ctS0'"
16/08/2019 21:00,"b'@realDonaldTrump Is this the same Tim Apple of Apple that wanted an exemption on the Chinese tariffs, the same Time\xe2\x80\xa6 https://t.co/fOBFuMiF8D'","'@realDonaldTrump Is this the same Tim Apple of Apple that wanted an exemption on the Chinese tariffs, the same Time\xe2\x80\xa6 https://t.co/fOBFuMiF8D'"
16/08/2019 21:00,b'@realDonaldTrump I think you mean Tim Apple.','@realDonaldTrump I think you mean Tim Apple.'
16/08/2019 21:00,"b'@adeayol Nope, it was Apple'","'@adeayol Nope, it was Apple'"
16/08/2019 21:00,"b""@realDonaldTrump #TrashTrump don't you mean Tim Apple. Yes, there is a tape.""","""@realDonaldTrump #TrashTrump don't you mean Tim Apple. Yes, there is a tape."""
16/08/2019 21:00,"b'@realDonaldTrump That\xe2\x80\x99s Tim Apple to you, bozo'","'@realDonaldTrump That\xe2\x80\x99s Tim Apple to you, bozo'"
16/08/2019 21:00,b'Friends are expecting a baby soon and went to Costco to stock up on stuff and forgot the apple juice. Sad.','Friends are expecting a baby soon and went to Costco to stock up on stuff and forgot the apple juice. Sad.'
16/08/2019 21:00,"b""@realDonaldTrump @POTUS Well, that's why I never buy anything Apple! \xf0\x9f\xa4\xb7\xf0\x9f\x98\x8f\xf0\x9f\x99\x84""","""@realDonaldTrump @POTUS Well, that's why I never buy anything Apple! \xf0\x9f\xa4\xb7\xf0\x9f\x98\x8f\xf0\x9f\x99\x84"""
16/08/2019 21:00,b'@Apple_Cream1 You rang','@Apple_Cream1 You rang'
16/08/2019 21:00,b'Folks getting their apple cards and I\xe2\x80\x99m happy we are all experiencing this titanium awesomeness','Folks getting their apple cards and I\xe2\x80\x99m happy we are all experiencing this titanium awesomeness'
16/08/2019 21:00,b'@joelcomm Evil Apple Pecan Salad','@joelcomm Evil Apple Pecan Salad'
16/08/2019 21:00,"b'@derekburgan @TheDCLBlog @parkscopejoe @SuperWeenieHtJr @omgitshillary loves apple pay. You yelling at clouds again, old man?'","'@derekburgan @TheDCLBlog @parkscopejoe @SuperWeenieHtJr @omgitshillary loves apple pay. You yelling at clouds again, old man?'"
